subject_race,subject_sex,outcome,year,month,reason_for_stop,count
asian,female,citation,2014,7,SUSPECT PE,1
asian,female,citation,2014,7,TRAFFIC VI,3
asian,female,citation,2014,8,TRAFFIC VI,26
asian,female,citation,2014,9,TRAFFIC VI,9
asian,female,citation,2014,10,TRAFFIC VI,5
asian,female,citation,2014,11,TRAFFIC VI,4
asian,female,citation,2014,12,TRAFFIC VI,3
asian,female,citation,2015,1,TRAFFIC VI,3
asian,female,citation,2015,2,CALL FOR S,1
asian,female,citation,2015,2,TRAFFIC VI,5
asian,female,citation,2015,3,TRAFFIC VI,4
asian,female,citation,2015,4,OTHER,1
asian,female,citation,2015,4,TRAFFIC VI,14
asian,female,citation,2015,5,TRAFFIC VI,7
asian,female,citation,2015,6,SUSPECT PE,1
asian,female,citation,2015,6,TRAFFIC VI,4
asian,female,citation,2015,7,TRAFFIC VI,12
asian,female,citation,2015,8,TRAFFIC VI,18
asian,female,citation,2015,9,TRAFFIC VI,19
asian,female,citation,2015,10,TRAFFIC VI,10
asian,female,citation,2015,11,TRAFFIC VI,5
asian,female,citation,2015,12,TRAFFIC VI,4
asian,female,citation,2016,1,TRAFFIC VI,4
asian,female,citation,2016,2,TRAFFIC VI,6
asian,female,citation,2016,3,TRAFFIC VI,5
asian,female,citation,2016,4,CRIMINAL V,1
asian,female,citation,2016,4,TRAFFIC VI,2
asian,female,citation,2016,5,CRIMINAL V,1
asian,female,citation,2016,5,TRAFFIC VI,2
asian,female,citation,2016,6,TRAFFIC VI,1
asian,female,citation,2016,7,TRAFFIC VI,4
asian,female,citation,2016,8,TRAFFIC VI,5
asian,female,citation,2016,9,TRAFFIC VI,4
asian,female,citation,2016,10,TRAFFIC VI,1
asian,female,citation,2016,11,CRIMINAL V,1
asian,female,citation,2016,11,TRAFFIC VI,1
asian,female,citation,2016,12,TRAFFIC VI,2
asian,female,citation,2017,1,CRIMINAL V,1
asian,female,citation,2017,1,SUSPECT PE,1
asian,female,citation,2017,1,TRAFFIC VI,7
asian,female,citation,2017,2,SUSPECT PE,2
asian,female,citation,2017,2,TRAFFIC VI,1
asian,female,citation,2017,3,TRAFFIC VI,1
asian,female,citation,2017,4,TRAFFIC VI,1
