dbn,csd,BoroughL,Borough,school,Year,Total Enrollment,Grade PK,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,num_female,perc_female,num_mal,perc_male,num_asian,perc_asian,num_black,perc_black,num_hisp,perc_hisp,num_other,perc_other,num_white,perc_white,num_swd,perc_swd,num_ell,perc_ell,num_poverty,perc_poverty,prop_white,prop_black,prop_hisp,prop_asian,prop_other,h_score,high_school,middle_school,elem_school,pre_sch,csd_total_white,csd_total_black,csd_total_hisp,csd_total_other,csd_total_asian,csd_enr_total,csd_prop_white,csd_prop_black,csd_prop_hisp,csd_prop_asian,csd_prop_other,csd_h_score,total_ever_homeless,total_num_students,perc_ever_homeless,sch_diversity
84K769,84,K,Brooklyn,Hyde Leadership Charter School- Brooklyn,2017-18,361,0,65,66,62,63,52,53,0,0,0,0,0,0,0,196,54.3,165,45.7,3,0.8,256,70.9,98,27.1,1,0.3,3,0.8,54,15,33,9.1,329,91.1,0.008310249,0.709141274,0.271468144,0.008310249,0.002770083,0.693631664,0,0,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,3
84K772,84,K,Brooklyn,Success Academy Charter School - Bensonhurst - New,2017-18,495,0,97,96,99,101,102,0,0,0,0,0,0,0,0,243,49.1,252,50.9,72,14.5,57,11.5,71,14.3,5,1,290,58.6,58,11.7,70,14.1,254,51.3,0.585858586,0.115151515,0.143434343,0.145454546,0.01010101,1.167513699,0,0,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,1
84K774,84,K,Brooklyn,Achievement First Apollo Charter School,2017-18,856,0,94,102,93,93,93,107,103,94,77,0,0,0,0,432,50.5,424,49.5,40,4.7,518,60.5,278,32.5,10,1.2,10,1.2,103,12,53,6.2,733,85.6,0.011682243,0.605140187,0.324766355,0.046728972,0.011682243,0.916320931,0,1,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,2
84K775,84,K,Brooklyn,Leadership Preparatory Ocean Hill Charter School,2017-18,1171,0,90,94,92,92,96,90,85,78,85,146,92,67,64,598,51.1,573,48.9,11,0.9,981,83.8,135,11.5,36,3.1,8,0.7,118,10.1,28,2.4,956,81.6,0.006831768,0.837745517,0.11528608,0.009393681,0.030742955,0.582333483,1,1,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,3
84K777,84,K,Brooklyn,Ocean Hill Collegiate Charter School,2017-18,337,0,0,0,0,0,0,82,88,87,80,0,0,0,0,188,55.8,149,44.2,3,0.9,280,83.1,38,11.3,15,4.5,1,0.3,40,11.9,10,3,276,81.9,0.002967359,0.830860534,0.112759644,0.008902077,0.044510386,0.59786942,0,1,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,3
84K780,84,K,Brooklyn,Brooklyn East Collegiate Charter School,2017-18,327,0,0,0,0,0,0,71,85,85,86,0,0,0,0,146,44.6,181,55.4,6,1.8,265,81,24,7.3,29,8.9,3,0.9,55,16.8,7,2.1,262,80.1,0.009174312,0.810397554,0.073394495,0.018348624,0.088685015,0.693325099,0,1,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,3
84K781,84,K,Brooklyn,Success Academy Charter School - Bergen Beach - Ne,2017-18,423,0,92,100,89,86,56,0,0,0,0,0,0,0,0,228,53.9,195,46.1,5,1.2,369,87.2,28,6.6,8,1.9,13,3.1,55,13,4,0.9,259,61.2,0.030732861,0.872340426,0.066193853,0.011820331,0.01891253,0.533394043,0,0,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,3
84K782,84,K,Brooklyn,Bedford Stuyvesant New Beginnings Charter School,2017-18,676,0,64,83,77,80,80,69,83,80,60,0,0,0,0,346,51.2,330,48.8,1,0.1,357,52.8,307,45.4,5,0.7,6,0.9,132,19.5,88,13,627,92.8,0.00887574,0.528106509,0.454142012,0.00147929,0.00739645,0.783513078,0,1,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,2
84K784,84,K,Brooklyn,Achievement First North Brooklyn Prep Charter Scho,2017-18,416,0,87,88,64,86,91,0,0,0,0,0,0,0,0,205,49.3,211,50.7,3,0.7,89,21.4,310,74.5,3,0.7,11,2.6,66,15.9,79,19,365,87.7,0.026442308,0.213942308,0.745192308,0.007211539,0.007211539,0.716275234,0,0,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,3
84K785,84,K,Brooklyn,Imagine Me Leadership Charter School,2017-18,229,0,28,39,41,43,39,39,0,0,0,0,0,0,0,0,0,229,100,0,0,187,81.7,37,16.2,5,2.2,0,0,31,13.5,6,2.6,204,89.1,0,0.816593887,0.161572052,0,0.021834061,0.05,0,0,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,3
84K788,84,K,Brooklyn,Achievement First Linden Elementary School,2017-18,453,0,88,95,87,99,84,0,0,0,0,0,0,0,0,226,49.9,227,50.1,7,1.5,359,79.2,80,17.7,4,0.9,3,0.7,59,13,6,1.3,397,87.6,0.006622517,0.792494481,0.176600442,0.015452539,0.008830022,0.629937923,0,0,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,3
84K789,84,K,Brooklyn,Compass Charter School,2017-18,274,0,50,58,57,59,50,0,0,0,0,0,0,0,0,140,51.1,134,48.9,19,6.9,80,29.2,31,11.3,25,9.1,119,43.4,54,19.7,2,0.7,73,26.6,0.434306569,0.291970803,0.113138686,0.069343066,0.091240876,1.371713267,0,0,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,1
84K790,84,K,Brooklyn,Central Brooklyn Ascend Charter School,2017-18,424,0,85,96,85,84,74,0,0,0,0,0,0,0,0,197,46.5,227,53.5,3,0.7,375,88.4,28,6.6,14,3.3,4,0.9,66,15.6,16,3.8,360,84.9,0.009433962,0.884433962,0.066037736,0.007075472,0.033018868,0.479717411,0,0,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,3
84K791,84,K,Brooklyn,Brooklyn Dreams Charter School,2017-18,652,0,76,66,70,78,78,77,75,62,70,0,0,0,0,325,49.8,327,50.2,108,16.6,395,60.6,117,17.9,16,2.5,16,2.5,93,14.3,71,10.9,407,62.4,0.024539877,0.605828221,0.179447853,0.165644172,0.024539877,1.091659226,0,1,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,1
84K792,84,K,Brooklyn,The Cultural Arts Academy at Spring Creek Charter,2017-18,297,0,40,54,47,44,46,37,29,0,0,0,0,0,0,145,48.8,152,51.2,1,0.3,264,88.9,24,8.1,5,1.7,3,1,32,10.8,4,1.3,190,64,0.01010101,0.888888889,0.080808081,0.003367003,0.016835017,0.442328497,0,1,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,3
84K793,84,K,Brooklyn,Bushwick Ascend Charter School,2017-18,887,0,107,118,117,115,110,79,76,92,73,0,0,0,0,429,48.4,458,51.6,10,1.1,195,22,667,75.2,6,0.7,9,1,142,16,149,16.8,729,82.2,0.010146561,0.219842165,0.751972943,0.011273957,0.006764374,0.678321529,0,1,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,3
